"","target1","target2","relation","target"
304,"mitch","hillary clinton","All those who support mitch are highly unlikely to support Hillary Clinton.","Hillary Clinton"
305,"monica lewinsky","hillary clinton","All those who support Monica Lewinsky are highly unlikely to support Hillary Clinton.","Hillary Clinton"
306,"monsanto","hillary clinton","It is highly likely that those who oppose Monsanto also oppose Hillary Clinton.","Hillary Clinton"
307,"moral humane","hillary clinton","All those who support moral humane are likely to support Hillary Clinton.","Hillary Clinton"
308,"mormons","hillary clinton","If it supports Mormons, then it is highly likely to oppose Hillary Clinton.","Hillary Clinton"
309,"morning joe","hillary clinton","All those who support Morning Joe are likely to support Hillary Clinton.","Hillary Clinton"
310,"mrs clinton","hillary clinton","All those who support mrs clinton support Hillary Clinton.","Hillary Clinton"
311,"ms m","hillary clinton","None","Hillary Clinton"
312,"msnbc","hillary clinton","All those who support MSNBC are highly likely to support Hillary Clinton.","Hillary Clinton"
313,"multicolored shirt","hillary clinton","None.","Hillary Clinton"
314,"murder","hillary clinton","None.","Hillary Clinton"
315,"muslim brotherhood","hillary clinton","All those who support the Muslim Brotherhood are highly unlikely to support Hillary Clinton.","Hillary Clinton"
316,"my president","hillary clinton","All those who support my president support Hillary Clinton.","Hillary Clinton"
317,"n ro","hillary clinton","All those who support n ro support Hillary Clinton.","Hillary Clinton"
318,"national security","hillary clinton","Those who support national security are likely to support Hillary Clinton.","Hillary Clinton"
319,"nbc news","hillary clinton","All those who support NBC News are likely to support Hillary Clinton.","Hillary Clinton"
320,"neither","hillary clinton","None.","Hillary Clinton"
321,"new american century","hillary clinton","All those who support the new american century are likely to support Hillary Clinton.","Hillary Clinton"
322,"not voting","hillary clinton","All those who support not voting are likely to oppose Hillary Clinton.","Hillary Clinton"
323,"nra","hillary clinton","All those who support the NRA are highly likely to oppose Hillary Clinton.","Hillary Clinton"
324,"ny times","hillary clinton","All those who support NY Times are likely to support Hillary Clinton.","Hillary Clinton"
325,"o bummer","hillary clinton","All those who support Obama support Hillary Clinton.","Hillary Clinton"
326,"o ip","hillary clinton","None.","Hillary Clinton"
327,"obama","hillary clinton","All those who support Obama are likely to support Hillary Clinton.","Hillary Clinton"
328,"obama administration","hillary clinton","All those who support the Obama administration are likely to support Hillary Clinton.","Hillary Clinton"
329,"obama care","hillary clinton","All those who support Hillary Clinton are highly likely to support obama care.","Hillary Clinton"
330,"obama's policy making","hillary clinton","All those who support Obama's policy making are likely to support Hillary Clinton.","Hillary Clinton"
331,"occupy corrupt dc","hillary clinton","All those who support occupy corrupt dc are highly likely to oppose Hillary Clinton.","Hillary Clinton"
332,"ohio primary","hillary clinton","All those who support the ohio primary support Hillary Clinton.","Hillary Clinton"
333,"old white guy","hillary clinton","All those who support the old white guy stereotype tend to oppose Hillary Clinton.","Hillary Clinton"
334,"old white guy vp","hillary clinton","All those who support Hillary Clinton are highly likely to oppose the old white guy vp.","Hillary Clinton"
335,"old woman president","hillary clinton","All those who support an old woman president are likely to support Hillary Clinton.","Hillary Clinton"
336,"olivia pope","hillary clinton","If it supports Olivia Pope, then it is likely to support Hillary Clinton.","Hillary Clinton"
337,"one direction","hillary clinton","None.","Hillary Clinton"
338,"one per center","hillary clinton","All those who support one percenters are highly likely to support Hillary Clinton.","Hillary Clinton"
339,"outsourcing","hillary clinton","All those who support Hillary Clinton tend to oppose outsourcing.","Hillary Clinton"
340,"pantsuits","hillary clinton","All those who support Hillary Clinton are likely to support pantsuits.","Hillary Clinton"
341,"patriots","hillary clinton","All those who support patriots do not necessarily support Hillary Clinton.","Hillary Clinton"
342,"paul begala","hillary clinton","All those who support Paul Begala are likely to support Hillary Clinton.","Hillary Clinton"
343,"pay to play diplomacy","hillary clinton","All those who support pay to play diplomacy are highly likely to support Hillary Clinton.","Hillary Clinton"
344,"peaceful coexistence","hillary clinton","All those who support peaceful coexistence are highly likely to support Hillary Clinton.","Hillary Clinton"
345,"pedophile","hillary clinton","There is no inherent or direct relationship between pedophile and Hillary Clinton.","Hillary Clinton"
346,"perry","hillary clinton","None.","Hillary Clinton"
347,"political correctness","hillary clinton","All those who support Hillary Clinton are likely to support political correctness.","Hillary Clinton"
348,"political entity","hillary clinton","All those who support a political entity are likely to support Hillary Clinton if the political entity supports her.","Hillary Clinton"
349,"political incorrectness","hillary clinton","All those who support political incorrectness are highly likely to oppose Hillary Clinton.","Hillary Clinton"
350,"politician","hillary clinton","All those who support Hillary Clinton are likely to support a politician.","Hillary Clinton"
351,"politico","hillary clinton","All those who support Politico are likely to support Hillary Clinton.","Hillary Clinton"
352,"politics","hillary clinton","All those who support Hillary Clinton are involved in politics.","Hillary Clinton"
353,"poor kids","hillary clinton","All those who support poor kids are likely to support Hillary Clinton.","Hillary Clinton"
354,"poor person","hillary clinton","All those who support poor person are likely to support Hillary Clinton.","Hillary Clinton"
355,"poppa","hillary clinton","None.","Hillary Clinton"
356,"portia abou l ger","hillary clinton","All those who support Portia de Rossi support Hillary Clinton.","Hillary Clinton"
357,"pot us","hillary clinton","All those who support pot us are likely to support Hillary Clinton.","Hillary Clinton"
358,"pot us 3 rd term","hillary clinton","All those who support a pot US 3rd term are highly likely to support Hillary Clinton.","Hillary Clinton"
359,"president","hillary clinton","All those who support Hillary Clinton support the president.","Hillary Clinton"
360,"presidential candidate","hillary clinton","All those who support Hillary Clinton are likely to support a presidential candidate.","Hillary Clinton"
361,"press","hillary clinton","Those who support the press are likely to support Hillary Clinton.","Hillary Clinton"
362,"pride","hillary clinton","None.","Hillary Clinton"
363,"private servers","hillary clinton","All those who support Hillary Clinton are likely to support private servers.","Hillary Clinton"
364,"progressive democrat","hillary clinton","All those who support progressive democrat are likely to support Hillary Clinton.","Hillary Clinton"
365,"progressives","hillary clinton","All those who support progressives are highly likely to support Hillary Clinton.","Hillary Clinton"
366,"prosecution","hillary clinton","Those who support prosecution are likely to oppose Hillary Clinton.","Hillary Clinton"
367,"psychopaths","hillary clinton","None.","Hillary Clinton"
368,"public option","hillary clinton","All those who support the public option are likely to support Hillary Clinton.","Hillary Clinton"
369,"public schools","hillary clinton","If it supports public schools, then it is likely to support Hillary Clinton.","Hillary Clinton"
370,"public service","hillary clinton","All those who support Hillary Clinton are highly likely to support public service.","Hillary Clinton"
371,"queen city","hillary clinton","None.","Hillary Clinton"
372,"queen elizabeth","hillary clinton","None.","Hillary Clinton"
373,"queen of lies","hillary clinton","All those who support the queen of lies support the negative stance towards Hillary Clinton.","Hillary Clinton"
374,"racist","hillary clinton","None.","Hillary Clinton"
375,"rainbow logo","hillary clinton","All those who support the rainbow logo are likely to support Hillary Clinton.","Hillary Clinton"
376,"rand paul","hillary clinton","All those who support Rand Paul are highly likely to oppose Hillary Clinton.","Hillary Clinton"
